variant,radius,alpha,image,GT,PSNR,SSIM,LPIPS
original,0,0,r00816405t.png,r00816405t.png,22.93492249,0.9560442,0.035977546
original,0,0,r00869422t.png,r00869422t.png,19.39565696,0.8421585,0.066145465
original,0,0,r00879054t.png,r00879054t.png,23.00805244,0.9283352,0.050739147
original,0,0,r01058910t.png,r01058910t.png,12.81158309,0.8653555,0.101476923
original,0,0,r01170470t.png,r01170470t.png,30.36110481,0.9771352,0.025420483
original,0,0,r01474187t.png,r01474187t.png,22.81410093,0.960681,0.02974179
original,0,0,r0150031ft.png,r0150031ft.png,23.83384219,0.97031087,0.026562009
original,0,0,r01559391t.png,r01559391t.png,17.32711263,0.7591924,0.137439758
original,0,0,r02189767t.png,r02189767t.png,27.60718317,0.9128526,0.059402965
original,0,0,r02354285t.png,r02354285t.png,28.63942808,0.9057105,0.063116789
original,0,0,r02508493t.png,r02508493t.png,25.76323241,0.96334237,0.034464307
original,0,0,r0287344at.png,r0287344at.png,33.44228603,0.9888831,0.009681663
original,0,0,r02897203t.png,r02897203t.png,30.81516275,0.9835569,0.013081418
original,0,0,r03193652t.png,r03193652t.png,19.46002831,0.87739015,0.074321359
original,0,0,r0341853dt.png,r0341853dt.png,21.35358735,0.9368958,0.110376924
original,0,0,r0372042dt.png,r0372042dt.png,27.16041409,0.93864197,0.056816936
original,0,0,r04317453t.png,r04317453t.png,24.92551592,0.96798325,0.044785939
original,0,0,r0465565ct.png,r0465565ct.png,31.01339768,0.97583574,0.02841536
original,0,0,r05243256t.png,r05243256t.png,21.05543287,0.9055107,0.048493028
original,0,0,r05772356t.png,r05772356t.png,22.35584089,0.9725628,0.0422263
original,0,0,r05839451t.png,r05839451t.png,33.0502068,0.9811239,0.007977874
original,0,0,r0589558at.png,r0589558at.png,27.55244642,0.9632167,0.044523746
original,0,0,r0603031et.png,r0603031et.png,24.81209625,0.91020733,0.063179061
original,0,0,r068812d7t.png,r068812d7t.png,21.77667806,0.9079437,0.051601745
original,0,0,r0703243bt.png,r0703243bt.png,30.76657632,0.9876046,0.012874566
original,0,0,r0708431at.png,r0708431at.png,32.05331638,0.9488316,0.014595918
original,0,0,r072421a1t.png,r072421a1t.png,22.18836526,0.9298253,0.095128
original,0,0,r072649fdt.png,r072649fdt.png,27.9700977,0.963835,0.025514664
original,0,0,r07598392t.png,r07598392t.png,24.86777694,0.9314038,0.066402882
original,0,0,r0773471dt.png,r0773471dt.png,25.76734806,0.9533355,0.040451627
original,0,0,r077507cat.png,r077507cat.png,19.32860968,0.884281,0.069365397
original,0,0,r08079988t.png,r08079988t.png,22.83671057,0.92798376,0.055467263
original,0,0,r0809811bt.png,r0809811bt.png,29.24030322,0.90726304,0.121940598
original,0,0,r082626aft.png,r082626aft.png,20.01974997,0.8055065,0.127368182
original,0,0,r084889d5t.png,r084889d5t.png,17.90840347,0.89235467,0.111053549
original,0,0,r08788547t.png,r08788547t.png,23.50598119,0.929457,0.042402044
original,0,0,r08873591t.png,r08873591t.png,31.07177214,0.94151455,0.048020937
original,0,0,r08996953t.png,r08996953t.png,29.35657577,0.98859817,0.025214309
original,0,0,r0905697bt.png,r0905697bt.png,22.21023916,0.9541869,0.057683047
original,0,0,r09245347t.png,r09245347t.png,27.90768648,0.8976746,0.070290178
original,0,0,r09445479t.png,r09445479t.png,26.90479784,0.9806407,0.022192111
original,0,0,r09670876t.png,r09670876t.png,33.92627794,0.9910445,0.006497026
original,0,0,r096982ddt.png,r096982ddt.png,22.68543738,0.9642404,0.037880573
original,0,0,r097088c1t.png,r097088c1t.png,30.6787138,0.9643958,0.027537666
original,0,0,r097555c4t.png,r097555c4t.png,23.16577813,0.97139144,0.02033289
original,0,0,r104153eat.png,r104153eat.png,17.52205067,0.9370332,0.064450711
original,0,0,r107730b5t.png,r107730b5t.png,30.25923051,0.96714944,0.030972237
original,0,0,r108301e3t.png,r108301e3t.png,31.20911356,0.96246654,0.03471433
original,0,0,r10893508t.png,r10893508t.png,24.61961006,0.9217138,0.070187502
original,0,0,r10940798t.png,r10940798t.png,32.63929895,0.9625671,0.033085588
original,0,0,r113402d4t.png,r113402d4t.png,25.57123117,0.94692045,0.04462032
