variant,radius,alpha,num_images,PSNR,SSIM,LPIPS
original,0.0,0.0,100,24.59578727114578,0.9314655,0.05597881866618991
blur_r0p5_a0p2,0.5,0.2,100,24.590678462064325,0.9312518,0.05739595137536526
blur_r0p8_a0p2,0.8,0.2,100,24.55345373670734,0.9300965,0.06096838051453233
blur_r1p0_a0p2,1.0,0.2,100,24.517547350951357,0.9290557,0.0636620728764683
blur_r1p2_a0p2,1.2,0.2,100,24.48763084140296,0.92828834,0.06525353748351335
blur_r0p8_a0p35,0.8,0.35,100,24.42274178125987,0.9259737,0.07090356843546033
blur_r1p0_a0p35,1.0,0.35,100,24.304001302085208,0.922137,0.07933960478752851
blur_r1p2_a0p35,1.2,0.35,100,24.207776590396517,0.9191211,0.08471140982583165
blur_r1p5_a0p35,1.5,0.35,100,24.09258359826797,0.9150571,0.089255475923419
blur_r1p0_a0p5,1.0,0.5,100,24.005040725319255,0.9107516,0.10470158219337464
blur_r1p2_a0p5,1.2,0.5,100,23.82768194444158,0.9034887,0.11706926181912422
blur_r1p5_a0p5,1.5,0.5,100,23.62221323537671,0.8938996,0.12761503487825393
blur_r2p0_a0p5,2.0,0.5,100,23.3754525119499,0.88214624,0.13790466379374267
blur_r1p5_a0p65,1.5,0.65,100,23.08951806480202,0.86193013,0.1855600845068693
blur_r2p0_a0p65,2.0,0.65,100,22.744100113720222,0.8397305,0.20738601066172124
blur_r1p0_a1p0,1.0,1.0,100,22.71228072898531,0.82834303,0.28339810416102407
blur_r1p5_a1p0,1.5,1.0,100,21.803433769899264,0.74278265,0.41206141754984854
blur_r2p0_a1p0,2.0,1.0,100,21.26427027878739,0.6831457,0.49665956169366837
