image,GT,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,1.png,21.92596166731663,0.8775393962860107,0.06460356712341309,0.08071078360080719,5.280854179166658
111.png,111.png,16.064068533385935,0.881314754486084,0.15178930759429932,0.10454598069190979,5.8199820190859555
146.png,146.png,23.100079881972203,0.9079992771148682,0.062018319964408875,0.0824630856513977,6.168060312035336
179.png,179.png,16.249915798446604,0.7387025356292725,0.13395541906356812,0.282436341047287,3.265170901917501
22.png,22.png,29.70629752714368,0.9054312705993652,0.02372380904853344,0.09477844834327698,4.220098214399244
23.png,23.png,25.21486620747809,0.8657634854316711,0.047279518097639084,0.16581901907920837,5.331002043868123
493.png,493.png,14.551205063141488,0.5383546948432922,0.15797017514705658,0.20769694447517395,3.501872501589472
547.png,547.png,16.379974737775022,0.861534595489502,0.14739303290843964,0.1181805208325386,4.504547132206567
55.png,55.png,20.05651614668581,0.8885865211486816,0.08912672847509384,0.1256588101387024,6.198860419429217
665.png,665.png,27.644334320630954,0.8329315781593323,0.03314139321446419,0.1688733845949173,5.3354161925350025
669.png,669.png,27.411618128388962,0.9014155268669128,0.030240388587117195,0.12382994592189789,4.673722196564476
748.png,748.png,29.451206269280128,0.9103238582611084,0.024814791977405548,0.08792119473218918,4.6497167645696615
778.png,778.png,24.616641234236184,0.8087911009788513,0.04574034735560417,0.11478504538536072,4.400669195945795
780.png,780.png,28.992267185526256,0.8110178112983704,0.026445699855685234,0.1031918153166771,5.411056783125902
79.png,79.png,29.102521896003882,0.9294582009315491,0.029607614502310753,0.07874981313943863,7.362227121118935
Average,-,23.36449830649412,0.8439444303512573,0.0711900070309639,0.12930940886338552,5.07488373183719
