image,GT,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,1.png,20.784355623709153,0.8737654089927673,0.07484304904937744,0.08225207030773163,5.1114427341983335
111.png,111.png,16.199039525841453,0.8852246403694153,0.1495123654603958,0.11021245270967484,5.875578893649724
146.png,146.png,24.26524567873596,0.9104568362236023,0.05280012637376785,0.08270928263664246,6.242381977046658
179.png,179.png,15.661172240446227,0.7328133583068848,0.14205503463745117,0.2828940153121948,3.4637698454874073
22.png,22.png,28.98884398385684,0.9082610011100769,0.027421025559306145,0.09797120839357376,4.979728842406912
23.png,23.png,26.69625682427393,0.8728803992271423,0.03766980022192001,0.15708784759044647,5.1797676453727775
493.png,493.png,14.797496173142184,0.6056240200996399,0.14981919527053833,0.19085606932640076,3.707750477525345
547.png,547.png,20.51081660186074,0.9035254120826721,0.0895114541053772,0.10721620917320251,5.0346298561560205
55.png,55.png,18.982106799576417,0.88287752866745,0.10269118845462799,0.12324560433626175,6.556784750421563
665.png,665.png,27.19133981315047,0.8309755325317383,0.032231323421001434,0.19718611240386963,6.086823869096199
669.png,669.png,27.599383681275423,0.9046139717102051,0.029338473454117775,0.1346103996038437,4.671363825929153
748.png,748.png,27.934548174150294,0.9019537568092346,0.03169558197259903,0.11347344517707825,4.767347373142895
778.png,778.png,24.708298149660905,0.8121926784515381,0.04454406723380089,0.11957423388957977,4.5274491086418625
780.png,780.png,27.757889617713634,0.8039126396179199,0.02983296662569046,0.11448021233081818,5.631835637649041
79.png,79.png,28.497703915263223,0.9307258725166321,0.03143340349197388,0.07579156756401062,8.214658704252034
Average,-,23.371633120177126,0.8506535291671753,0.06835993379354477,0.13263738205035527,5.336754236065063
