image,GT,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,1.png,20.76492669600872,0.883943498134613,0.0760420635342598,0.07068703323602676,5.3563509356536585
111.png,111.png,24.392119866376554,0.9327676296234131,0.05545512214303017,0.06862453371286392,5.0586909235572834
146.png,146.png,22.847551330998137,0.9144005179405212,0.06395252794027328,0.08132610470056534,6.135760876769332
179.png,179.png,14.722146983783844,0.7317774891853333,0.16185466945171356,0.23377269506454468,3.5769748004787667
22.png,22.png,29.87785660449264,0.9115923047065735,0.02489689365029335,0.08346538245677948,4.557432596199424
23.png,23.png,24.354382730163092,0.873506486415863,0.052959639579057693,0.14397118985652924,5.206041920556285
493.png,493.png,14.28848458011152,0.586284875869751,0.16153931617736816,0.17501962184906006,3.928854714387488
547.png,547.png,16.25931514242421,0.8681142330169678,0.14892883598804474,0.1265190839767456,4.913302283757627
55.png,55.png,19.309953608701463,0.8897902369499207,0.09975122660398483,0.10788501054048538,6.236215125450562
665.png,665.png,28.07222420230524,0.8287724852561951,0.029127534478902817,0.17615240812301636,5.8069575068869925
669.png,669.png,28.0186946799573,0.9119550585746765,0.028874587267637253,0.13223135471343994,4.469203505676152
748.png,748.png,28.218640304473066,0.9106939435005188,0.029634255915880203,0.09217999130487442,4.535670343856291
778.png,778.png,24.996102829643448,0.8229031562805176,0.04353667050600052,0.11035767942667007,4.065662594197686
780.png,780.png,26.578820291193953,0.8000490665435791,0.038367751985788345,0.11304482817649841,5.272031356368046
79.png,79.png,28.14141887819478,0.9325885772705078,0.03410208597779274,0.07544712722301483,7.743289581636855
Average,-,23.38950924858853,0.8532759547233582,0.0699348787466685,0.11937893629074096,5.124162604362164
