image,relative_path,width,height,MUSIQ,LIQE,Q-Align
1.png,1.png,600.0,400.0,68.62677764892578,3.227036476135254,4.0078125
111.png,111.png,600.0,400.0,74.33162689208984,4.161569595336914,4.12890625
146.png,146.png,600.0,400.0,70.04789733886719,4.46843957901001,4.42578125
179.png,179.png,600.0,400.0,70.08832550048828,2.974475622177124,4.30859375
22.png,22.png,600.0,400.0,75.88446807861328,4.671513080596924,4.66796875
23.png,23.png,600.0,400.0,76.0477523803711,4.823004245758057,4.69140625
493.png,493.png,600.0,400.0,76.05947875976562,3.6854677200317383,4.01953125
547.png,547.png,600.0,400.0,74.81566619873047,3.731930732727051,3.9296875
55.png,55.png,600.0,400.0,71.63053131103516,4.312793731689453,4.27734375
665.png,665.png,600.0,400.0,74.55802154541016,4.500117301940918,4.10546875
669.png,669.png,600.0,400.0,67.87003326416016,2.4352195262908936,3.953125
748.png,748.png,600.0,400.0,68.4751968383789,3.4911701679229736,4.02734375
778.png,778.png,600.0,400.0,73.63811492919922,4.15552282333374,4.19921875
780.png,780.png,600.0,400.0,67.01193237304688,3.2741425037384033,3.966796875
79.png,79.png,600.0,400.0,73.95965576171875,4.582869529724121,4.44921875
Average,-,,,72.20303192138672,3.8996848424275714,4.210546875
Std,-,,,3.1316455427572674,0.6825940749794283,0.24377232636799565
