image,relative_path,width,height,MUSIQ,LIQE,Q-Align
1.png,1.png,600.0,400.0,69.73143768310547,2.933664560317993,3.833984375
111.png,111.png,600.0,400.0,76.10005950927734,3.1444404125213623,4.1171875
146.png,146.png,600.0,400.0,73.36709594726562,3.4360079765319824,4.32421875
179.png,179.png,600.0,400.0,75.82613372802734,3.9315192699432373,4.3125
22.png,22.png,600.0,400.0,76.84101104736328,3.4119205474853516,4.56640625
23.png,23.png,600.0,400.0,72.86860656738281,2.9779422283172607,4.2734375
493.png,493.png,600.0,400.0,75.058837890625,4.383298873901367,4.16015625
547.png,547.png,600.0,400.0,75.88880157470703,4.11983585357666,3.998046875
55.png,55.png,600.0,400.0,74.7244873046875,2.7788586616516113,3.958984375
665.png,665.png,600.0,400.0,76.42728424072266,3.1916744709014893,4.0625
669.png,669.png,600.0,400.0,70.8971939086914,1.9983121156692505,3.904296875
748.png,748.png,600.0,400.0,70.623046875,2.881028413772583,3.9375
778.png,778.png,600.0,400.0,74.17230987548828,3.1264686584472656,3.931640625
780.png,780.png,600.0,400.0,68.04515075683594,2.621624231338501,3.8984375
79.png,79.png,600.0,400.0,75.59620666503906,3.3342597484588623,4.52734375
Average,-,,,73.74451090494792,3.218057068188985,4.120442708333333
Std,-,,,2.6446523969317877,0.5820447877500596,0.22501002159876896
