dataset,source,n,niqe,musiq,liqe
DICM,cidnet,69,3.6769,59.7958,2.9574
DICM,cidnet_syn,69,3.7225,58.9316,3.2441
DICM,input,69,4.2688,58.0189,3.1533
DICM,pairlie,69,4.2668,58.4151,2.5143
DICM,retinexformer,69,3.3950,56.8299,2.5435
DICM,retinexformer_syn,69,3.7452,58.1777,3.1392
DICM,ruas,69,5.7107,53.5018,2.0578
DICM,sci,69,4.0732,53.5963,2.5356
DICM,uretinex,69,4.1336,61.1464,3.3289
DICM,v5_lolv1,69,4.6912,52.9113,2.2217
DICM,v5_lolv1_gtgamma,69,5.4307,50.5841,2.0882
DICM,v5_lolv1_gtmean,69,5.0450,48.0721,2.0212
DICM,v5_lolv2real,69,7.2446,48.5686,1.6265
DICM,v5_lolv2real_gtgamma,69,7.6320,46.7627,1.5866
DICM,v5_lolv2real_gtmean,69,7.2571,44.6235,1.5596
DICM,v5_lolv2syn,69,4.4452,55.1690,2.5529
DICM,zerodce,69,3.7328,58.8572,3.1821
LIME,cidnet,10,4.1600,62.3758,3.3077
LIME,cidnet_syn,10,3.8060,59.3470,2.9878
LIME,input,10,4.3506,58.2774,2.8078
LIME,pairlie,10,4.5107,59.4111,2.2438
LIME,retinexformer,10,4.0780,60.8427,3.0175
LIME,retinexformer_syn,10,3.8597,59.4495,2.8100
LIME,ruas,10,4.2810,58.0192,2.6284
LIME,sci,10,4.1799,59.1130,2.8907
LIME,uretinex,10,4.3480,64.2967,3.2695
LIME,v5_lolv1,10,5.0197,57.2468,2.4903
LIME,v5_lolv1_gtgamma,10,5.1087,50.6003,2.0503
LIME,v5_lolv1_gtmean,10,5.3328,45.5602,1.7539
LIME,v5_lolv2real,10,6.0060,53.6335,1.8345
LIME,v5_lolv2real_gtgamma,10,6.3541,48.4077,1.5677
LIME,v5_lolv2real_gtmean,10,5.6092,43.4961,1.4787
LIME,v5_lolv2syn,10,4.3709,55.6662,2.2345
LIME,zerodce,10,3.7719,60.7342,3.0626
MEF,cidnet,17,3.6976,66.7394,3.9804
MEF,cidnet_syn,17,3.3423,62.7785,3.5224
MEF,input,17,4.2659,57.5359,2.8894
MEF,pairlie,17,4.1812,62.6541,2.8368
MEF,retinexformer,17,3.4353,62.0750,3.4728
MEF,retinexformer_syn,17,3.4586,62.1119,3.3897
MEF,ruas,17,4.0396,61.8054,3.1800
MEF,sci,17,3.6329,62.5321,3.5269
MEF,uretinex,17,3.7885,67.2727,3.9229
MEF,v5_lolv1,17,4.9164,53.4208,2.3587
MEF,v5_lolv1_gtgamma,17,7.8435,46.0812,1.7972
MEF,v5_lolv1_gtmean,17,5.6530,43.2575,1.7322
MEF,v5_lolv2real,17,6.4563,45.4523,1.5294
MEF,v5_lolv2real_gtgamma,17,10.1942,41.1324,1.3236
MEF,v5_lolv2real_gtmean,17,6.6291,38.5278,1.2861
MEF,v5_lolv2syn,17,4.3974,60.4974,3.0443
MEF,zerodce,17,3.2837,64.9255,3.7860
NPE,cidnet,8,4.2323,65.9249,3.4443
NPE,cidnet_syn,8,3.8516,67.0033,3.9763
NPE,input,8,4.3244,65.1311,3.8531
NPE,pairlie,8,4.2129,64.5489,2.7365
NPE,retinexformer,8,4.1097,63.3391,2.9457
NPE,retinexformer_syn,8,4.0041,66.0692,3.7340
NPE,ruas,8,6.1167,61.4299,2.4111
NPE,sci,8,4.4658,62.2901,3.1014
NPE,uretinex,8,4.6922,68.1135,3.8394
NPE,v5_lolv1,8,5.0020,58.8956,2.5929
NPE,v5_lolv1_gtgamma,8,5.6923,55.4016,2.4595
NPE,v5_lolv1_gtmean,8,5.1987,57.9582,2.3924
NPE,v5_lolv2real,8,6.5447,53.4498,1.7737
NPE,v5_lolv2real_gtgamma,8,6.6047,51.2166,1.6940
NPE,v5_lolv2real_gtmean,8,6.6475,52.2444,1.7246
NPE,v5_lolv2syn,8,5.3690,61.9467,2.8841
NPE,zerodce,8,3.9263,68.9639,3.8904
VV,cidnet,24,3.0638,33.7023,1.1801
VV,cidnet_syn,24,2.8745,41.4988,1.3786
VV,input,24,3.5249,43.6000,1.4683
VV,pairlie,24,3.3766,38.8115,1.3155
VV,retinexformer,24,2.6445,34.8763,1.1571
VV,retinexformer_syn,24,2.7690,41.2298,1.3725
VV,ruas,24,4.3963,35.1724,1.0509
VV,sci,24,2.9336,32.9975,1.1412
VV,uretinex,24,3.0038,40.2572,1.5211
VV,v5_lolv1,24,3.9889,35.1897,1.2472
VV,v5_lolv1_gtgamma,24,4.6587,36.5744,1.3043
VV,v5_lolv1_gtmean,24,4.5467,37.4447,1.2330
VV,v5_lolv2real,24,5.3899,32.8912,1.1169
VV,v5_lolv2real_gtgamma,24,5.8759,34.2467,1.1598
VV,v5_lolv2real_gtmean,24,5.5444,35.0736,1.1243
VV,v5_lolv2syn,24,3.1667,37.6627,1.2171
VV,zerodce,24,2.6307,39.8752,1.2961
