dataset,source,n,qalign
DICM,cidnet,69,3.3988
DICM,cidnet_syn,69,3.7973
DICM,input,69,3.7343
DICM,pairlie,69,2.5316
DICM,retinexformer,69,3.0062
DICM,retinexformer_syn,69,3.6936
DICM,ruas,69,2.5362
DICM,sci,69,2.9085
DICM,uretinex,69,3.6788
DICM,v5_lolv1,69,3.1748
DICM,v5_lolv2real,69,2.9245
DICM,v5_lolv2syn,69,3.2777
DICM,zerodce,69,3.5166
LIME,cidnet,10,3.2492
LIME,cidnet_syn,10,3.2447
LIME,input,10,3.3408
LIME,pairlie,10,2.2419
LIME,retinexformer,10,3.2529
LIME,retinexformer_syn,10,3.1857
LIME,ruas,10,2.6699
LIME,sci,10,2.9605
LIME,uretinex,10,3.3687
LIME,v5_lolv1,10,3.1437
LIME,v5_lolv2real,10,2.7165
LIME,v5_lolv2syn,10,2.7903
LIME,zerodce,10,3.1068
MEF,cidnet,17,3.6327
MEF,cidnet_syn,17,3.4570
MEF,input,17,3.0835
MEF,pairlie,17,2.7060
MEF,retinexformer,17,3.2685
MEF,retinexformer_syn,17,3.4003
MEF,ruas,17,3.2086
MEF,sci,17,3.4351
MEF,uretinex,17,3.6906
MEF,v5_lolv1,17,2.9104
MEF,v5_lolv2real,17,2.4103
MEF,v5_lolv2syn,17,3.1001
MEF,zerodce,17,3.5504
NPE,cidnet,8,2.9475
NPE,cidnet_syn,8,3.5393
NPE,input,8,3.7351
NPE,pairlie,8,2.1862
NPE,retinexformer,8,2.7902
NPE,retinexformer_syn,8,3.4608
NPE,ruas,8,2.1451
NPE,sci,8,2.5557
NPE,uretinex,8,3.5269
NPE,v5_lolv1,8,3.2800
NPE,v5_lolv2real,8,2.9110
NPE,v5_lolv2syn,8,3.2833
NPE,zerodce,8,3.2979
VV,cidnet,24,2.8086
VV,cidnet_syn,24,3.6440
VV,input,24,3.4845
VV,pairlie,24,3.0129
VV,retinexformer,24,2.6662
VV,retinexformer_syn,24,3.3923
VV,ruas,24,2.6919
VV,sci,24,3.0061
VV,uretinex,24,3.0728
VV,v5_lolv1,24,3.1743
VV,v5_lolv2real,24,3.0492
VV,v5_lolv2syn,24,3.3308
VV,zerodce,24,3.5636
