image,GT,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,1.png,21.676573562458206,0.8833305835723877,0.06763645261526108,0.07353369891643524,5.29558114184195
111.png,111.png,14.818618465973383,0.8615503311157227,0.17507365345954895,0.11643433570861816,5.913630482781469
146.png,146.png,22.543738420596114,0.9125791192054749,0.0679285079240799,0.07739110291004181,6.159945653543027
179.png,179.png,16.485805732018143,0.767717182636261,0.13223853707313538,0.1847342699766159,3.2229120267535847
22.png,22.png,29.513384483339927,0.9149258732795715,0.025834668427705765,0.08043207228183746,4.5834597249908535
23.png,23.png,25.547413712123852,0.8819802403450012,0.04565054178237915,0.12279179692268372,5.057162531317854
493.png,493.png,14.764481562899421,0.5538224577903748,0.15411075949668884,0.18652644753456116,3.6113608820973937
547.png,547.png,16.93529042498788,0.8791599869728088,0.13782596588134766,0.11405223608016968,4.750357407504128
55.png,55.png,18.903566824902068,0.8922361731529236,0.1038142591714859,0.10019484162330627,6.202682780030644
665.png,665.png,28.49161394843391,0.8367671966552734,0.02668096497654915,0.12530696392059326,4.620915491777898
669.png,669.png,28.3228579280112,0.9135457873344421,0.027377905324101448,0.12265899777412415,4.472485906321842
748.png,748.png,29.313260726749096,0.9134419560432434,0.025987302884459496,0.08137641847133636,4.570503047051461
778.png,778.png,24.800987362907957,0.8235833048820496,0.0446186289191246,0.11474276334047318,4.625194835976704
780.png,780.png,28.987778101243123,0.814105749130249,0.026672083884477615,0.08621624112129211,5.132054734871773
79.png,79.png,28.479011981641534,0.9349125027656555,0.03365815058350563,0.057849958539009094,7.690084778732185
Average,-,23.305625549219055,0.852243959903717,0.07300722549359004,0.10961614300807317,5.060555428372852
